2014-09-20, Scunthorpe Utd, Leyton Orient, 1, 2, vs, TRUE
2014-09-20, Doncaster, Chesterfield, 3, 2, vs, TRUE
2014-09-20, Rochdale, Coventry City, 1, 0, vs, TRUE
2014-09-20, MK Dons, Crewe Alexandra, 6, 1, vs, TRUE
2014-09-20, Preston, Crawley Town, 2, 0, vs, TRUE
2014-09-20, Fleetwood Town, Bristol City, 3, 3, vs, TRUE
2014-09-20, Gillingham, Walsall, 0, 0, vs, TRUE
2014-09-20, Colchester Utd, Bradford City, 0, 0, vs, TRUE
2014-09-20, Port Vale, Barnsley, 2, 1, vs, TRUE
2014-09-20, Notts County, Oldham Athletic, 0, 0, vs, TRUE
2014-09-20, Swindon Town, Sheffield Utd, 5, 2, vs, TRUE
2014-09-20, Yeovil Town, P'borough Utd, 1, 0, vs, TRUE
2014-09-27, Bristol City, MK Dons, 3, 2, vs, TRUE
2014-09-27, Crawley Town, Yeovil Town, 2, 0, vs, TRUE
2014-09-27, Barnsley, Swindon Town, 0, 3, vs, TRUE
2014-09-27, Leyton Orient, Rochdale, 2, 3, vs, TRUE
2014-09-27, Chesterfield, Notts County, 1, 1, vs, TRUE
2014-09-27, Walsall, Doncaster, 3, 0, vs, TRUE
2014-09-27, Oldham Athletic, Scunthorpe Utd, 3, 2, vs, TRUE
2014-09-27, Coventry City, Preston, 0, 2, vs, TRUE
2014-09-27, Bradford City, Port Vale, 1, 1, vs, TRUE
2014-09-27, P'borough Utd, Fleetwood Town, 1, 0, vs, TRUE
2014-09-27, Crewe Alexandra, Colchester Utd, 0, 3, vs, TRUE
2014-09-27, Sheffield Utd, Gillingham, 2, 1, vs, TRUE
2014-09-30, Crewe Alexandra, Notts County, 0, 3, vs, TRUE
2014-10-04, Preston, Colchester Utd, 4, 2, vs, TRUE
2014-10-04, P'borough Utd, Oldham Athletic, 2, 2, vs, TRUE
2014-10-04, Scunthorpe Utd, Doncaster, 1, 2, vs, TRUE
2014-10-04, Bradford City, Crewe Alexandra, 2, 0, vs, TRUE
2014-10-04, Yeovil Town, MK Dons, 0, 2, vs, TRUE
2014-10-04, Leyton Orient, Swindon Town, 1, 2, vs, TRUE
2014-10-04, Coventry City, Crawley Town, 2, 2, vs, TRUE
2014-10-04, Walsall, Bristol City, 1, 1, vs, TRUE
2014-10-04, Rochdale, Barnsley, 0, 1, vs, TRUE
2014-10-04, Notts County, Gillingham, 1, 0, vs, TRUE
2014-10-04, Fleetwood Town, Port Vale, 1, 0, vs, TRUE
2014-10-04, Chesterfield, Sheffield Utd, 3, 2, vs, TRUE
2014-10-11, Port Vale, Yeovil Town, 4, 1, vs, TRUE
2014-10-11, Bristol City, Chesterfield, 3, 2, vs, TRUE
2014-10-11, Crawley Town, P'borough Utd, 1, 4, vs, TRUE
2014-10-11, Gillingham, Scunthorpe Utd, 0, 3, vs, TRUE
2014-10-11, Sheffield Utd, Leyton Orient, 2, 2, vs, TRUE
2014-10-11, Colchester Utd, Fleetwood Town, 2, 1, vs, TRUE
2014-10-11, Crewe Alexandra, Coventry City, 2, 1, vs, TRUE
2014-10-11, Oldham Athletic, Walsall, 2, 1, vs, TRUE
2014-10-12, Barnsley, Bradford City, 3, 1, vs, TRUE
2014-10-18, Bradford City, Sheffield Utd, 0, 2, vs, TRUE
2014-10-18, Preston, Port Vale, 2, 0, vs, TRUE
2014-10-18, Coventry City, Bristol City, 1, 3, vs, TRUE
2014-10-18, Fleetwood Town, Doncaster, 3, 1, vs, TRUE
2014-10-18, P'borough Utd, Barnsley, 2, 1, vs, TRUE
2014-10-18, Chesterfield, Oldham Athletic, 1, 1, vs, TRUE
2014-10-18, Walsall, Crewe Alexandra, 0, 1, vs, TRUE
2014-10-18, Notts County, Crawley Town, 5, 3, vs, TRUE
2014-10-18, Leyton Orient, MK Dons, 0, 0, vs, TRUE
2014-10-18, Yeovil Town, Swindon Town, 1, 1, vs, TRUE
2014-10-18, Rochdale, Gillingham, 1, 1, vs, TRUE
2014-10-18, Scunthorpe Utd, Colchester Utd, 1, 1, vs, TRUE
2014-10-21, Bristol City, Bradford City, 2, 2, vs, TRUE
2014-10-21, Colchester Utd, Chesterfield, 2, 1, vs, TRUE
2014-10-21, Crawley Town, Walsall, 1, 0, vs, TRUE
2014-10-21, Port Vale, Scunthorpe Utd, 2, 2, vs, TRUE
2014-10-21, Crewe Alexandra, P'borough Utd, 1, 0, vs, TRUE
2014-10-21, MK Dons, Fleetwood Town, 2, 1, vs, TRUE
2014-10-21, Swindon Town, Rochdale, 2, 3, vs, TRUE
2014-10-21, Sheffield Utd, Yeovil Town, 2, 0, vs, TRUE
2014-10-21, Gillingham, Preston, 0, 1, vs, TRUE
2014-10-21, Doncaster, Leyton Orient, 0, 2, vs, TRUE
2014-10-21, Barnsley, Notts County, 2, 3, vs, TRUE
2014-10-21, Oldham Athletic, Coventry City, 4, 1, vs, TRUE
2014-10-25, Barnsley, Bristol City, 2, 2, vs, TRUE
2014-10-25, Preston, Fleetwood Town, 3, 2, vs, TRUE
2014-10-25, Scunthorpe Utd, Notts County, 0, 1, vs, TRUE
2014-10-25, Swindon Town, Colchester Utd, 2, 2, vs, TRUE
2014-10-25, Walsall, Chesterfield, 1, 0, vs, TRUE
2014-10-25, Coventry City, P'borough Utd, 3, 2, vs, TRUE
2014-10-25, Gillingham, Crawley Town, 1, 1, vs, TRUE
2014-10-25, Yeovil Town, Rochdale, 0, 3, vs, TRUE
2014-10-25, Doncaster, MK Dons, 0, 0, vs, TRUE
2014-10-25, Port Vale, Leyton Orient, 3, 0, vs, TRUE
2014-10-25, Oldham Athletic, Bradford City, 2, 1, vs, TRUE
