2017-09-16, Chesterfield, Acc'ton Stanley, 1, 2, vs, TRUE
2017-09-16, Crawley Town, Notts County, 0, 1, vs, TRUE
2017-09-16, Carlisle United, Barnet, 1, 1, vs, TRUE
2017-09-16, Port Vale, FG Rovers, 1, 1, vs, TRUE
2017-09-16, Lincoln City, Mansfield Town, 0, 1, vs, TRUE
2017-09-22, FG Rovers, Swindon Town, 0, 2, vs, TRUE
2017-09-23, Notts County, Lincoln City, 4, 1, vs, TRUE
2017-09-23, Barnet, Crawley Town, 1, 2, vs, TRUE
2017-09-23, Crewe Alexandra, Carlisle United, 0, 5, vs, TRUE
2017-09-23, Newport County, Grimsby Town, 1, 0, vs, TRUE
2017-09-23, Colchester Utd, Wycombe, 1, 2, vs, TRUE
2017-09-23, Coventry City, Exeter City, 2, 0, vs, TRUE
2017-09-23, Stevenage, Morecambe, 2, 1, vs, TRUE
2017-09-23, Luton Town, Chesterfield, 1, 0, vs, TRUE
2017-09-23, Acc'ton Stanley, Cheltenham, 1, 1, vs, TRUE
2017-09-23, Mansfield Town, Cambridge Utd, 2, 1, vs, TRUE
2017-09-23, Yeovil Town, Port Vale, 1, 1, vs, TRUE
2017-09-26, Lincoln City, Barnet, 2, 1, vs, TRUE
2017-09-26, Cambridge Utd, FG Rovers, 3, 0, vs, TRUE
2017-09-26, Cheltenham, Mansfield Town, 3, 0, vs, TRUE
2017-09-26, Wycombe, Crewe Alexandra, 3, 2, vs, TRUE
2017-09-26, Chesterfield, Yeovil Town, 2, 3, vs, TRUE
2017-09-26, Crawley Town, Newport County, 1, 2, vs, TRUE
2017-09-26, Carlisle United, Stevenage, 0, 2, vs, TRUE
2017-09-26, Exeter City, Notts County, 0, 3, vs, TRUE
2017-09-26, Port Vale, Acc'ton Stanley, 1, 2, vs, TRUE
2017-09-26, Grimsby Town, Colchester Utd, 2, 2, vs, TRUE
2017-09-26, Swindon Town, Coventry City, 1, 2, vs, TRUE
2017-09-26, Morecambe, Luton Town, 0, 0, vs, TRUE
2017-09-30, Yeovil Town, Colchester Utd, 0, 1, vs, TRUE
2017-09-30, Crawley Town, Carlisle United, 0, 1, vs, TRUE
2017-09-30, Stevenage, Port Vale, 2, 0, vs, TRUE
2017-09-30, Swindon Town, Cambridge Utd, 2, 0, vs, TRUE
2017-09-30, Luton Town, Newport County, 3, 1, vs, TRUE
2017-09-30, Wycombe, Barnet, 3, 1, vs, TRUE
2017-09-30, Exeter City, Morecambe, 4, 1, vs, TRUE
2017-09-30, FG Rovers, Acc'ton Stanley, 0, 1, vs, TRUE
2017-09-30, Chesterfield, Cheltenham, 0, 2, vs, TRUE
2017-09-30, Coventry City, Crewe Alexandra, 1, 0, vs, TRUE
2017-09-30, Mansfield Town, Notts County, 3, 1, vs, TRUE
2017-09-30, Grimsby Town, Lincoln City, 0, 0, vs, TRUE
2017-10-07, Acc'ton Stanley, Luton Town, 0, 2, vs, TRUE
2017-10-07, Cheltenham, Swindon Town, 2, 1, vs, TRUE
2017-10-07, Carlisle United, Exeter City, 0, 1, vs, TRUE
2017-10-07, Notts County, FG Rovers, 1, 1, vs, TRUE
2017-10-07, Cambridge Utd, Wycombe, 1, 3, vs, TRUE
2017-10-07, Crewe Alexandra, Stevenage, 1, 0, vs, TRUE
2017-10-07, Lincoln City, Chesterfield, 2, 1, vs, TRUE
2017-10-07, Port Vale, Grimsby Town, 1, 2, vs, TRUE
2017-10-07, Colchester Utd, Mansfield Town, 2, 0, vs, TRUE
2017-10-07, Newport County, Yeovil Town, 2, 0, vs, TRUE
2017-10-07, Morecambe, Crawley Town, 0, 1, vs, TRUE
2017-10-07, Barnet, Coventry City, 0, 0, vs, TRUE
2017-10-14, FG Rovers, Newport County, 0, 4, vs, TRUE
2017-10-14, Acc'ton Stanley, Coventry City, 1, 0, vs, TRUE
2017-10-14, Colchester Utd, Carlisle United, 0, 1, vs, TRUE
2017-10-14, Yeovil Town, Crewe Alexandra, 2, 0, vs, TRUE
2017-10-14, Port Vale, Cheltenham, 3, 1, vs, TRUE
2017-10-14, Mansfield Town, Swindon Town, 1, 3, vs, TRUE
2017-10-14, Wycombe, Exeter City, 0, 0, vs, TRUE
2017-10-14, Chesterfield, Morecambe, 0, 2, vs, TRUE
2017-10-14, Luton Town, Stevenage, 7, 1, vs, TRUE
2017-10-14, Notts County, Barnet, 2, 1, vs, TRUE
2017-10-14, Grimsby Town, Crawley Town, 0, 0, vs, TRUE
2017-10-14, Lincoln City, Cambridge Utd, 0, 0, vs, TRUE
2017-10-17, Barnet, Mansfield Town, 1, 1, vs, TRUE
2017-10-17, Swindon Town, Lincoln City, 0, 1, vs, TRUE
2017-10-17, Crewe Alexandra, Notts County, 2, 0, vs, TRUE
2017-10-17, Carlisle United, Wycombe, 3, 3, vs, TRUE
2017-10-17, Stevenage, Acc'ton Stanley, 3, 2, vs, TRUE
2017-10-17, Newport County, Colchester Utd, 1, 2, vs, TRUE
2017-10-17, Cambridge Utd, Yeovil Town, 2, 1, vs, TRUE
2017-10-17, Cheltenham, Grimsby Town, 2, 3, vs, TRUE
2017-10-17, Coventry City, FG Rovers, 0, 1, vs, TRUE
2017-10-17, Morecambe, Port Vale, 0, 3, vs, TRUE
2017-10-17, Crawley Town, Chesterfield, 0, 2, vs, TRUE
2017-10-17, Exeter City, Luton Town, 1, 4, vs, TRUE
2017-10-21, Cheltenham, Lincoln City, 1, 0, vs, TRUE
2017-10-21, Barnet, Yeovil Town, 1, 1, vs, TRUE
2017-10-21, Exeter City, Port Vale, 0, 1, vs, TRUE
2017-10-21, Coventry City, Colchester Utd, 0, 0, vs, TRUE
2017-10-21, Stevenage, FG Rovers, 1, 2, vs, TRUE
2017-10-21, Carlisle United, Notts County, 1, 1, vs, TRUE
2017-10-21, Newport County, Mansfield Town, 1, 1, vs, TRUE
2017-10-21, Crawley Town, Luton Town, 0, 0, vs, TRUE
2017-10-21, Morecambe, Grimsby Town, 0, 0, vs, TRUE
2017-10-21, Crewe Alexandra, Acc'ton Stanley, 0, 2, vs, TRUE
2017-10-21, Cambridge Utd, Chesterfield, 2, 1, vs, TRUE
2017-10-21, Swindon Town, Wycombe, 1, 0, vs, TRUE
2017-10-28, Luton Town, Coventry City, 0, 3, vs, TRUE
2017-10-28, Yeovil Town, Stevenage, 3, 0, vs, TRUE
2017-10-28, FG Rovers, Morecambe, 2, 0, vs, TRUE
2017-10-28, Acc'ton Stanley, Barnet, 4, 1, vs, TRUE
2017-10-28, Lincoln City, Crawley Town, 0, 0, vs, TRUE
2017-10-28, Port Vale, Swindon Town, 0, 3, vs, TRUE
2017-10-28, Notts County, Newport County, 3, 0, vs, TRUE
2017-10-28, Colchester Utd, Crewe Alexandra, 3, 1, vs, TRUE
2017-10-28, Wycombe, Cheltenham, 3, 3, vs, TRUE
2017-10-28, Mansfield Town, Exeter City, 1, 1, vs, TRUE
2017-10-28, Grimsby Town, Cambridge Utd, 0, 0, vs, TRUE
2017-10-28, Chesterfield, Carlisle United, 2, 2, vs, TRUE
2017-11-10, Newport County, Port Vale, 1, 1, vs, TRUE
2017-11-11, Coventry City, Mansfield Town, 0, 1, vs, TRUE
2017-11-11, Barnet, Colchester Utd, 0, 1, vs, TRUE
2017-11-11, Morecambe, Wycombe, 2, 1, vs, TRUE
2017-11-11, Exeter City, Grimsby Town, 2, 0, vs, TRUE
2017-11-11, Cheltenham, Luton Town, 2, 2, vs, TRUE
2017-11-11, Stevenage, Notts County, 1, 1, vs, TRUE
2017-11-11, Swindon Town, Chesterfield, 2, 2, vs, TRUE
2017-11-11, Cambridge Utd, Acc'ton Stanley, 0, 0, vs, TRUE
2017-11-11, Carlisle United, Yeovil Town, 4, 0, vs, TRUE
2017-11-11, Crewe Alexandra, Lincoln City, 1, 4, vs, TRUE
2017-11-11, Crawley Town, FG Rovers, 1, 1, vs, TRUE
2017-11-18, Port Vale, Barnet, 1, 0, vs, TRUE
2017-11-18, Mansfield Town, Stevenage, 1, 0, vs, TRUE
2017-11-18, Luton Town, Cambridge Utd, 7, 0, vs, TRUE
2017-11-18, Grimsby Town, Carlisle United, 0, 1, vs, TRUE
2017-11-18, Notts County, Cheltenham, 3, 1, vs, TRUE
2017-11-18, FG Rovers, Crewe Alexandra, 3, 2, vs, TRUE
2017-11-18, Wycombe, Crawley Town, 4, 0, vs, TRUE
2017-11-18, Chesterfield, Exeter City, 1, 0, vs, TRUE
2017-11-18, Lincoln City, Coventry City, 1, 2, vs, TRUE
2017-11-18, Colchester Utd, Morecambe, 0, 0, vs, TRUE
2017-11-18, Yeovil Town, Swindon Town, 1, 2, vs, TRUE
2017-11-18, Acc'ton Stanley, Newport County, 1, 1, vs, TRUE
2017-11-21, Newport County, Barnet, 1, 2, vs, TRUE
2017-11-21, Yeovil Town, Notts County, 1, 1, vs, TRUE
2017-11-21, Crawley Town, Exeter City, 3, 1, vs, TRUE
2017-11-21, Grimsby Town, Swindon Town, 3, 2, vs, TRUE
2017-11-21, Stevenage, Coventry City, 1, 1, vs, TRUE
2017-11-21, Morecambe, Crewe Alexandra, 0, 1, vs, TRUE
2017-11-21, Acc'ton Stanley, Wycombe, 1, 0, vs, TRUE
2017-11-21, Colchester Utd, Lincoln City, 1, 0, vs, TRUE
2017-11-21, Chesterfield, FG Rovers, 3, 2, vs, TRUE
2017-11-21, Cheltenham, Cambridge Utd, 0, 0, vs, TRUE
2017-11-21, Port Vale, Mansfield Town, 0, 4, vs, TRUE
2017-11-21, Luton Town, Carlisle United, 3, 0, vs, TRUE
2017-11-25, Barnet, Grimsby Town, 0, 2, vs, TRUE
