1997-08-16, Charlotte Sting, Houston Comets, 80, 71, vs
1997-08-16, Utah Starzz, Los Angeles Sparks, 64, 74, vs
1997-08-17, Cleveland Rockers, Charlotte Sting, 81, 49, vs
1997-08-17, New York Liberty, Houston Comets, 55, 70, vs
1997-08-17, Phoenix Mercury, Utah Starzz, 71, 63, vs
1997-08-18, Los Angeles Sparks, Phoenix Mercury, 75, 66, vs
1997-08-19, Houston Comets, Charlotte Sting, 77, 69, vs
1997-08-19, Utah Starzz, New York Liberty, 81, 75, vs
1997-08-20, Los Angeles Sparks, New York Liberty, 78, 76, vs
1997-08-20, Sacramento Monarchs, Phoenix Mercury, 54, 69, vs
1997-08-21, Houston Comets, Cleveland Rockers, 75, 76, vs
1997-08-21, Utah Starzz, Charlotte Sting, 56, 66, vs
1997-08-22, Los Angeles Sparks, Sacramento Monarchs, 88, 77, vs
1997-08-22, Phoenix Mercury, Charlotte Sting, 78, 63, vs
1997-08-23, Cleveland Rockers, New York Liberty, 72, 71, vs
1997-08-24, Charlotte Sting, Utah Starzz, 70, 52, vs
1997-08-24, Houston Comets, Sacramento Monarchs, 58, 68, vs
1997-08-24, New York Liberty, Cleveland Rockers, 79, 72, vs
1997-08-24, Phoenix Mercury, Los Angeles Sparks, 73, 68, vs
1997-08-28, Houston Comets, Charlotte Sting, 70, 54, vs
1997-08-28, Phoenix Mercury, New York Liberty, 41, 59, vs
1997-08-30, Houston Comets, New York Liberty, 65, 51, vs
1998-06-11, Charlotte Sting, Washington Mystics, 83, 57, vs
1998-06-11, Cleveland Rockers, New York Liberty, 78, 71, vs
1998-06-11, Sacramento Monarchs, Phoenix Mercury, 70, 73, vs
1998-06-11, Utah Starzz, Los Angeles Sparks, 83, 89, vs
1998-06-13, Detroit Shock, Charlotte Sting, 69, 78, vs
1998-06-13, Houston Comets, New York Liberty, 73, 62, vs
1998-06-13, Utah Starzz, Washington Mystics, 78, 77, vs
1998-06-14, Phoenix Mercury, Los Angeles Sparks, 70, 60, vs
1998-06-15, Charlotte Sting, Houston Comets, 65, 79, vs
1998-06-15, Detroit Shock, Cleveland Rockers, 85, 96, vs
1998-06-15, Phoenix Mercury, Washington Mystics, 69, 54, vs
1998-06-15, Utah Starzz, New York Liberty, 71, 60, vs
1998-06-16, Sacramento Monarchs, Los Angeles Sparks, 73, 69, vs
1998-06-18, Charlotte Sting, Detroit Shock, 71, 67, vs
1998-06-18, Houston Comets, Cleveland Rockers, 87, 69, vs
1998-06-18, Sacramento Monarchs, New York Liberty, 48, 64, vs
1998-06-19, Los Angeles Sparks, New York Liberty, 78, 75, vs
1998-06-19, Washington Mystics, Utah Starzz, 85, 76, vs
1998-06-20, Cleveland Rockers, Detroit Shock, 68, 66, vs
1998-06-20, Sacramento Monarchs, Houston Comets, 68, 79, vs
1998-06-21, Los Angeles Sparks, Houston Comets, 63, 79, vs
1998-06-21, New York Liberty, Utah Starzz, 68, 64, vs
1998-06-21, Phoenix Mercury, Charlotte Sting, 71, 72, vs
1998-06-21, Washington Mystics, Detroit Shock, 57, 70, vs
1998-06-22, Cleveland Rockers, Utah Starzz, 88, 72, vs
1998-06-23, Detroit Shock, Sacramento Monarchs, 61, 57, vs
1998-06-23, New York Liberty, Cleveland Rockers, 59, 57, vs
